"","major_category","major","unwgt_num","num","num_in_grad","num_went_grad","num_no_grad","pct","pct_in_grad","pct_went_grad","pct_no_grad","num_lowend","num_noncollege","pct_lowend","pct_noncollege","per25_ftyr_earn","med_ftyr_earn","per75_ftyr_earn","ever_marr","men","women","white","black","natam","asian","hispan","pct_ever_marr","pct_men","pct_women","pct_white","pct_black","pct_natam","pct_asian","pct_hispan"
"36","Communications & Journalism","Communications",3262,394058,24592,25670,332955,0.0321401862763497,0.0624070568291977,0.0651426947302174,0.844939069883114,26286,201053,0.0667059163879429,0.510211694725142,30335.67,40447.56,51570.639,70583,122325,271733,315198,36562,1349,17265,40121,0.179118302381883,0.310423846235833,0.689576153764167,0.799877175441179,0.0927832958600003,0.00342335392251902,0.0438133472737516,0.101814961249359
"37","Communications & Journalism","Journalism",1138,134064,8525,10594,112517,0.0109345373852391,0.0635890321040697,0.0790219596610574,0.839278255161714,4224,48495,0.0315073397780165,0.361730218403151,30335.67,40000,50559.45,23021,43547,90517,106750,13304,160,6257,14506,0.17171649361499,0.324822472848789,0.675177527151211,0.796261487050961,0.0992361857023511,0.00119345984007638,0.046671738870987,0.108202052750925
"38","Communications & Journalism","Mass Media",877,96181,5517,5851,82698,0.00784472147817224,0.0573606013661742,0.0608332206984748,0.859816387852071,4825,46677,0.0501658331687132,0.485303750220938,27302.103,37413.993,50559.45,15644,43394,52787,72343,13068,149,5467,11144,0.162651667169191,0.451170189538474,0.548829810461526,0.752154791486884,0.135868830642227,0.00154916251650534,0.056840748172716,0.115864879757956
"39","Computers & Mathematics","Applied Mathematics",106,11493,2083,2605,6711,0.000937392873318363,0.181240755242321,0.226659705907944,0.583920647350561,0,2238,0,0.194727225267554,40447.56,60165.7455,91007.01,4051,6882,4611,7849,118,0,2917,782,0.35247541982076,0.598799269120334,0.401200730879666,0.68293744018098,0.0102671191159836,0,0.253806664926477,0.0680414165144001
"40","Computers & Mathematics","Communication Technologies",280,31817,1145,909,28855,0.00259506038896462,0.0359870509476066,0.0285696325863532,0.906905113618506,2415,16110,0.0759028192475721,0.506333092372002,27000,35391.615,48537.072,5806,17646,14171,23949,2933,0,2780,3311,0.182481063582362,0.554609171197787,0.445390828802213,0.752710814973128,0.0921834239557469,0,0.0873746739164598,0.10406386522928
"41","Computers & Mathematics","Computer Administration Management And Security",213,22533,2049,2995,15899,0.00183783812881603,0.0909332978298496,0.132916167398926,0.705587360759775,301,6947,0.0133581857719789,0.308303377268895,34380.426,51570.639,72805.608,6988,19208,3325,16521,2527,0,2294,2053,0.310122930812586,0.852438645542094,0.147561354457906,0.733191319398216,0.112146629388009,0,0.101806239737274,0.0911108152487463
"42","Computers & Mathematics","Computer And Information Systems",769,93602,5766,10346,74512,0.00763437289901205,0.0616012478365847,0.110531826243029,0.796051366423794,1983,30671,0.0211854447554539,0.32767462233713,39436.371,52581.828,70783.23,18564,72230,21372,58297,12194,46,18071,8685,0.198329095532147,0.771671545479797,0.228328454520203,0.622817888506656,0.130274994124057,0.000491442490545074,0.193062114057392,0.0927864789213906
"43","Computers & Mathematics","Computer Networking And Telecommunications",150,18255,1397,2127,13634,0.00148891559231069,0.0765269789098877,0.116516023007395,0.746863872911531,1231,9671,0.0674335798411394,0.529772665023281,30335.67,42469.938,58000,3407,12759,5496,13773,2442,0,1216,1407,0.186633798959189,0.698931799506984,0.301068200493016,0.754478225143796,0.133771569433032,0,0.0666118871542043,0.0770747740345111
"44","Computers & Mathematics","Computer Science",2495,301714,21541,49764,222142,0.0246084184617051,0.0713954274577911,0.164937656190962,0.736266795707193,4170,66331,0.0138210358153748,0.219847272582644,45503.505,64000,87973.443,58677,247964,53750,183525,21433,458,79451,20826,0.194478877347422,0.82185115705602,0.17814884294398,0.608274723745004,0.0710374725733642,0.00151799386173661,0.263332162246366,0.0690256335470015
"45","Computers & Mathematics","Information Sciences",270,32498,1658,3526,26331,0.00265060415880102,0.0510185242168749,0.108498984552896,0.810234475967752,71,9480,0.00218474983075882,0.291710259092867,40447.56,60000,72000,6189,24844,7654,21783,3801,0,4748,2064,0.19044248876854,0.764477814019324,0.235522185980676,0.67028740230168,0.116961043756539,0,0.146101298541449,0.0635116007138901
